StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q3	Q3_4_TEXT	Q31	Q33	Q34	Q35	Q36	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q12
Start Date	End Date	Response Type	IP Address	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Recipient Last Name	Recipient First Name	Recipient Email	External Data Reference	Location Latitude	Location Longitude	Distribution Channel	User Language	Full Name:	Email:	Job Title: - Selected Choice	Job Title: - Other - Text	Please pick the name of your top choice candidate to interview during the Matchmaking Event (review the list of registered applicants here):	Please pick the name of your 2nd choice candidate to interview during the Matchmaking Event (review the list of registered applicants here):	Please pick the name of your 3rd choice candidate to interview during the Matchmaking Event (review the list of registered applicants here):	Please pick the name of your 4th choice candidate to interview during the Matchmaking Event (review the list of registered applicants here):	Please pick the name of your 5th choice candidate to interview during the Matchmaking Event (review the list of registered applicants here):	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 9:45 - 10"	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 10-10:15"	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 10:15-10:30"	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 10:30-10:45"	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 11:15-11:30"	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 11:30-11:45"	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 11:45-12pm"	"We will assume you are available for all interview slots. However, if you are not, you may indicate which slots you are or or not available for below. Interviews start at 9:45am (there is a welcome & info session from 9 - 9:30am). There is a 30 minute break from 10:45-11:15am. Please choose yes or no below. - 12-12:15"	Do you have any questions/ final thoughts that you would like to share with the matchmaking team?
12/19/23 16:45	12/19/23 17:01	IP Address	128.218.42.251	100	970	TRUE	12/19/23 17:01	R_6nVp6SaAfcVL9AE					37.7595	-122.4367	anonymous	EN	Emma Smith	Emma.Smith@u.edu	Assistant Professor		Natalia Adams	Mariana Barnes	Gabriel Green	Victoria Young		"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/19/23 17:04	12/19/23 17:10	IP Address	128.218.42.128	100	399	TRUE	12/19/23 17:10	R_3u1QADN8ti5oqHv					37.7562	-122.4866	anonymous	EN	Liam Johnson	Liam.Johnson@u.edu	Associate Professor		Valeria Bell	Leonardo Foster	Camila Sanchez	Ximena Robinson										
12/19/23 16:31	12/19/23 19:59	IP Address	76.171.132.182	100	12459	TRUE	12/19/23 19:59	R_1kb9QmgmALbsZFM					34.0125	-118.4885	anonymous	EN	Olivia Williams	Olivia.Williams@u.edu	Associate Professor		Juan Stewart	Isabella Edwards	Emilio Myers	Gabriel Green								"No, I am NOT available at this time"	"No, I am NOT available at this time"	
12/19/23 21:14	12/19/23 21:17	IP Address	64.54.15.155	100	187	TRUE	12/19/23 21:17	R_5wc8vG4j0qeITwB					37.7506	-122.4121	anonymous	EN	Noah Jones	Noah.Jones@u.edu	Associate Professor		Leonardo Baker	Alejandro Turner				"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/19/23 23:12	12/19/23 23:15	IP Address	128.218.42.48	100	200	TRUE	12/19/23 23:15	R_1RxsiUxVmoZrPJC					37.7595	-122.4367	anonymous	EN	Ava Brown	Ava.Brown@u.edu	Assistant Professor		Cristian Carter	Vanessa Griffin	Mateo Flores	Emilio Walker	Zoe Kelly	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"Yes, I am available at this time"	"I've participated twice, and made hires both years (though unfortunately after bringing my last person out, another UCSF PI scooped that person from my lab). Nevertheless, let's go 3 for 3!"
12/20/23 3:04	12/20/23 3:07	IP Address	128.218.42.7	100	181	TRUE	12/20/23 3:07	R_6qUrxhdzBZR2tiA					37.7562	-122.4866	anonymous	EN	Isabella Davis	Isabella.Davis@u.edu	Professor		Mariana Ward	Ana Lopez	Lucia Harris	Valeria Jenkins	Xavier Wright	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	Thank you for organizing this wonderful event! Licia
12/20/23 11:46	12/20/23 11:51	IP Address	128.218.42.66	100	344	TRUE	12/20/23 11:51	R_5hR4T1FWfkuX9Bj					37.7562	-122.4866	anonymous	EN	Sophia Miller	Sophia.Miller@u.edu	Assistant Professor		Valentina Scott	Sofia Rodriguez	Mateo Lopez	Gabriela Turner		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/20/23 12:29	12/20/23 12:36	IP Address	73.92.220.14	100	416	TRUE	12/20/23 12:36	R_182wjBGoAwjIvG9					37.5281	-121.9732	anonymous	EN	Mia Wilson	Mia.Wilson@u.edu	Associate Professor		Diego Coleman	Adrian Ross	Mariana Hayes	Natalia Adams		"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	Thanks for your efforts!
12/20/23 13:28	12/20/23 13:39	IP Address	128.218.42.219	100	653	TRUE	12/20/23 13:39	R_7MSPWTMYHNWnwWU					37.7562	-122.4866	anonymous	EN	Charlotte Taylor	Charlotte.Taylor@u.edu	Associate Professor		Andres Richardson	Cristian Carter	Adrian Ross	Javier Baker	Vanessa Griffin	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	Thanks for organizing this and for the invitation to participate! 
12/20/23 15:37	12/20/23 15:50	IP Address	128.218.42.55	100	790	TRUE	12/20/23 15:50	R_61jMWaPHHAQm0oA					37.7595	-122.4367	anonymous	EN	Amelia Anderson	Amelia.Anderson@u.edu	Associate Professor		Santiago Reed	Eduardo Brooks				"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/21/23 9:55	12/21/23 11:58	IP Address	128.218.42.114	100	7428	TRUE	12/21/23 11:58	R_7zxVv2bsU15bc1X					37.7562	-122.4866	anonymous	EN	Harper Thomas	Harper.Thomas@u.edu	Assistant Professor		Zoe King	Luisa Carter	Ximena Peterson	Miguel Mitchell		"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/21/23 17:33	12/21/23 17:50	IP Address	71.198.230.81	100	1033	TRUE	12/21/23 17:50	R_7dyhiazsGjVap8Z					37.8994	-122.1144	anonymous	EN	Evelyn Jackson	Evelyn.Jackson@u.edu	Professor		Valeria Parker	Andres Russell	Mateo Morris	Juan Thompson		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/22/23 11:52	12/22/23 11:55	IP Address	128.218.42.202	100	173	TRUE	12/22/23 11:55	R_7KloonCVFEC92vI					37.7595	-122.4367	anonymous	EN	Abigail White	Abigail.White@u.edu	Associate Professor		Alejandro Turner	Andres Hill	Juan Stewart	Xavier Rivera		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/22/23 14:59	12/22/23 15:00	IP Address	128.218.42.202	100	90	TRUE	12/22/23 15:00	R_6EgONd74eyrgqsU					37.7562	-122.4866	anonymous	EN	Emily Harris	Emily.Harris@u.edu	Associate Professor		Carlos Gray	Andres Hill	Alejandro James	Valeria Bell										I submitted this form earlier and omitted one candidate by mistake. Please use this version with 4 requests.
12/23/23 11:53	12/23/23 12:11	IP Address	128.218.42.120	100	1084	TRUE	12/23/23 12:11	R_7SLbUjDfEgg5Ruh					37.7595	-122.4367	anonymous	EN	Elizabeth Martin	Elizabeth.Martin@u.edu	Associate Professor		Ximena Peterson	Vanessa Scott				"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/19/23 17:04	12/23/23 13:52	IP Address	128.218.42.96	100	334050	TRUE	12/23/23 13:52	R_3DuteQoEhj5fS3Y					37.7562	-122.4866	anonymous	EN	Mila Thompson	Mila.Thompson@u.edu	Associate Professor		Mariana Barnes	Juan Stewart	Gabriela Turner	Eduardo Brooks	Gabriel Murphy	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/26/23 17:26	12/26/23 17:28	IP Address	128.218.42.55	100	119	TRUE	12/26/23 17:28	R_67PTcXL9SlqTj6z					37.7562	-122.4866	anonymous	EN	Ella Garcia	Ella.Garcia@u.edu	Professor		Zoe Kelly	Samuel Perry	Isabella Edwards			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/27/23 17:18	12/27/23 17:28	IP Address	128.218.42.61	100	567	TRUE	12/27/23 17:28	R_3V26z6NwmHXHIgP					37.7562	-122.4866	anonymous	EN	Avery Martinez	Avery.Martinez@u.edu	Professor		Daniel Green	Isabella Rogers	Andres Hill	Victoria Young		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"I am curious about applicants who are already working in UCSF labs. Are they looking to move on from their current positions? It would seem that if they want to stay, the matchmaking process would not be necessary."
12/20/23 1:37	1/1/24 17:27	IP Address	140.177.255.117	100	1093828	TRUE	1/1/24 17:27	R_7hXDhPNiFCWP9Zf					40.1343	-88.287	anonymous	EN	Sofia Robinson	Sofia.Robinson@u.edu	Other	Sandler faculty fellow	Camila Sanchez	Isabella Edwards	Juan Patterson											"If you need more names, these might fit well too:
Clarise Guadalupe Rivera
Ann Nguyen
Ariana Jaramillo
Javier Hernandez Lopez
Justin Amakor"
12/19/23 17:45	1/2/24 12:02	IP Address	135.180.117.34	100	1188986	TRUE	1/2/24 12:02	R_6UXGLvZbwMvYWyk					37.8637	-122.276	anonymous	EN	Camila Clark	Camila.Clark@u.edu	Assistant Professor		Valentina Simmons	Emilio Myers	Daniel Howard	Ximena Robinson	Valeria Jenkins	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/2/24 14:35	1/2/24 14:43	IP Address	108.233.84.117	100	436	TRUE	1/2/24 14:43	R_3IMco3lGOC1BWgm					37.7771	-122.406	anonymous	EN	Aria Rodriguez	Aria.Rodriguez@u.edu	Assistant Professor		Daniel Howard	Ana Alexander	Luisa Carter	Juan Thompson	Natalia Henderson	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"I tried to look to see if there were any folks from CSU East Bay or UC Riverside but didn't see any based on email addresses. If there are, would be interested in meeting with them, since that's where we're collecting data. Otherwise, I tried to filter based on people who were interested in health disparities, epidemiology and biostatistics, and had more public health-y majors, and prioritized those who seemed to be interested in social determinants of health, but if there are any great candidates who you think might be a good fit for 3e.ucsf.edu please feel free to add. "
1/2/24 15:00	1/2/24 15:03	IP Address	128.218.42.211	100	182	TRUE	1/2/24 15:04	R_6651TP0qDiuZRnr					37.7595	-122.4367	anonymous	EN	Scarlett Lewis	Scarlett.Lewis@u.edu	Assistant Professor		Alejandro James	Daniel Diaz	Natalia Henderson	Isabella Edwards		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/2/24 14:48	1/2/24 15:53	IP Address	128.218.42.141	100	3849	TRUE	1/2/24 15:53	R_5HMeqYTDtcheuWt					37.7595	-122.4367	anonymous	EN	Victoria Lee	Victoria.Lee@u.edu	Assistant Professor		Alejandro Wilson	Juan Stewart				"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	
1/2/24 16:35	1/2/24 16:48	IP Address	64.54.15.152	100	779	TRUE	1/2/24 16:48	R_1krHsntEXFIk6f7					37.7506	-122.4121	anonymous	EN	Madison Walker	Madison.Walker@u.edu	Professor		Valentina Scott	Ana Cooper	Gabriela Turner	Carlos Gray	Luna Ramirez	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	
1/2/24 16:51	1/2/24 16:54	IP Address	128.218.42.24	100	150	TRUE	1/2/24 16:54	R_6pSRrdSdDqRRMUP					37.7562	-122.4866	anonymous	EN	Luna Hall	Luna.Hall@u.edu	Professor		Lucia Harris	Isabella Washington	Luna Ramirez	Ximena Robinson	Santiago Martinez									
