StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q32	Q33	Q34	Q35	Q36	Q12
Start Date	End Date	Response Type	IP Address	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Recipient Last Name	Recipient First Name	Recipient Email	External Data Reference	Location Latitude	Location Longitude	Distribution Channel	User Language	First and Last Name:	Email:	"Please pick the name of your top choice faculty to interview with during the Matchmaking Event (for a list of participating faculty, click here):"	"Please pick the name of your 2nd choice faculty to interview with during the Matchmaking Event (for a list of participating faculty, click here):"	"Please pick the name of your 3rd choice faculty to interview with during the Matchmaking Event (for a list of participating faculty, click here):"	"Please pick the name of your 4th choice faculty to interview with during the Matchmaking Event (for a list of participating faculty, click here):"	"Please pick the name of your 5th choice faculty to interview with during the Matchmaking Event (for a list of participating faculty, click here):"	Do you have any questions/ final thoughts that you would like to share with the matchmaking team?
12/19/23 17:35	12/19/23 17:47	IP Address	73.66.152.90	100	726	TRUE	12/19/23 17:47	R_5svMT0jM7oYvjxU					38.6645	-121.487	anonymous	EN	Sofia Rodriguez	sofia.rodriguez@university.edu	Lillian Baker	Noah Jones	Sofia Robinson	Layla King	Camila Clark	
12/19/23 17:15	12/19/23 17:55	IP Address	136.25.72.127	100	2394	TRUE	12/19/23 17:55	R_5IGx90KMBVjTwi9					37.8657	-122.2571	anonymous	EN	Mateo Lopez	mateo.lopez@university.edu	Eliana Peterson	Natalie Perez	Amelia Anderson	Skylar Morris	Andrew Hughes	
12/19/23 17:29	12/19/23 18:01	IP Address	23.121.152.255	100	1888	TRUE	12/19/23 18:01	R_5QPFfVYgc9FEO8X					37.589	-122.0461	anonymous	EN	Isabella Hernandez	isabella.hernandez@university.edu	Luna Hall	Lucy Rogers	Eleanor Green			
12/19/23 18:08	12/19/23 18:20	IP Address	67.1.108.220	100	723	TRUE	12/19/23 18:20	R_6dXKZsBI5nq3G9X					32.1943	-110.9767	anonymous	EN	Santiago Martinez	santiago.martinez@university.edu	Emma Smith	Ross Simmons	Elizabeth Martin	Judith Harrison	Serenity Price	
12/19/23 18:50	12/19/23 18:56	IP Address	73.209.139.171	100	359	TRUE	12/19/23 18:56	R_1CUcuglh1wBeCSR					41.4782	-87.6833	anonymous	EN	Camila Davis	camila.davis@university.edu	Rong Foster	Bella Stewart	Akinyemi Diaz	Anna Morgan	Alice James	
12/19/23 17:24	12/19/23 19:25	IP Address	192.184.172.115	100	7277	TRUE	12/19/23 19:25	R_5BbsfwTqKcIde3T					37.8371	-122.2773	anonymous	EN	Juan Thompson	juan.thompson@university.edu	Hannah Adams	Abigail White	Camila Clark	Jan Hamilton		
12/19/23 20:29	12/19/23 20:59	IP Address	98.45.216.196	100	1785	TRUE	12/19/23 20:59	R_34MzSoLVJCZylpG					37.8021	-122.433	anonymous	EN	Valentina Scott	valentina.scott@university.edu	Orion Ford	James Wallace	Abigail White	Aaliyah Bailey	Wilson Cole	
12/20/23 13:19	12/20/23 13:27	IP Address	99.91.121.145	100	443	TRUE	12/20/23 13:27	R_5O0VNkpgMDPBdMT					33.8617	-84.5396	anonymous	EN	Alejandro Wilson	alejandro.wilson@university.edu	Cherry Perry	Paisley Reed	Roberto Graham	Sara Alexander	Eliana Peterson	
12/20/23 12:49	12/20/23 13:45	IP Address	69.149.123.232	100	3385	TRUE	12/20/23 13:45	R_7ClJgzufXpbw25t					37.7201	-122.4414	anonymous	EN	Lucia Harris	lucia.harris@university.edu	Rosemary  Russell	Akinyemi Diaz	Violet Campbell	Eleanor Green	Lily Scott	
12/20/23 20:04	12/20/23 20:07	IP Address	71.202.99.56	100	166	TRUE	12/20/23 20:07	R_3QAPnkfdzZRdmPa					37.5625	-122.0004	anonymous	EN	Gabriel Green	gabriel.green@university.edu	Roberto Graham	Jan Hamilton	Joaquin Jordan	john Powell	Eva Sanders	
12/19/23 19:59	12/21/23 12:22	IP Address	172.56.14.232	100	145412	TRUE	12/21/23 12:22	R_3VPkOCcTht0C5lG					29.7646	-95.3657	anonymous	EN	Gabriela Turner	gabriela.turner@university.edu	Alice James	Mia Wilson	Serenity Price	Licia Hayes	Paisley Reed	
12/21/23 16:22	12/21/23 16:24	IP Address	76.240.112.191	100	143	TRUE	12/21/23 16:24	R_7b13FyxnzEiAKPL					34.1979	-118.5371	anonymous	EN	Sebastian Phillips	sebastian.phillips@university.edu	Madelyn Watson	Orion Ford	Emma Smith	Natalie Perez	Zoe Roberts	
12/21/23 19:56	12/21/23 20:01	IP Address	71.198.225.211	100	287	TRUE	12/21/23 20:01	R_1GV0Id8MEXzZtGU					37.9935	-121.7015	anonymous	EN	Valeria Lewis	valeria.lewis@university.edu	Alejandro Fisher	Grace Allen	Judith Harrison	Adeline Ward	Ellie Carter	
12/22/23 1:12	12/22/23 23:35	IP Address	104.172.21.177	100	80594	TRUE	12/22/23 23:35	R_6m9nwrq4gKCMnzk					34.1531	-118.4296	anonymous	EN	Adrian Clark	adrian.clark@university.edu	Nora Hill	Sara Alexander	Avery Martinez	Cherry Perry		
12/23/23 2:40	12/23/23 3:16	IP Address	77.241.232.8	100	2184	TRUE	12/23/23 3:16	R_1ASNJQ9TZ0xSTv3					52.3824	4.8995	anonymous	EN	Natalia Adams	natalia.adams@university.edu	Eva Sanders	Ellie Carter	Riley Wright	Nevaeh Barnes		
12/26/23 16:04	12/26/23 16:09	IP Address	205.155.143.186	100	266	TRUE	12/26/23 16:09	R_7EgXlQniudz36rl					38.581	-121.4939	anonymous	EN	Leonardo Baker	leonardo.baker@university.edu	Aria Rodriguez	Sarah Cox	Caroline Bell	Cora Brooks	Judith Harrison	
