Full Name	Email Address	Major	Educational Stage	If other please add here	Expected Graduation/Completion Date	How DS helps goals	Research categories of interest	Other Research Category	Primary Research Area of interest	Other primary research area	2nd research area interest	Other secondary research area	3rd research area of interest	Other third choice research area	Research interests.	Prior research skills	Other research skills/experience	Prior Research description	NIH guidelines state that trainees supported throu	Gender identity	Other gender identity	Sexual orientation	Other sexual orientation	Race/Ethnicity:	Other Race/Ethnicity	Are you from a disadvantaged background?	Which of the following describes your disability	Other disability	Notes	Do you consider yourself transgender?	Other transgender answer	First generation born/raised in US	First generation to attend college	Eligible for NIH Diversity Supplement	Citizenship	Please attach the following documents	PREP Interest
Sofia Rodriguez	sofia.rodriguez@university.edu	Computer Science	Post-Baccalaureate student		23-Dec	An NIH diversity supplement would provide me with the financial support and mentorship needed to pursue my research in Alzheimer’s disease and contribute to improving treatments and care for affected individuals.	"Clinical/Translational Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Computational Biology/Medical Informatics		Human Genetics		"My research interests focus on Alzheimer’s disease, with a goal of improving treatments and care for affected individuals."	Experience working with human subjects or animals		I have previously worked on characterizing the genetic risk factors associated with Alzheimer’s disease and evaluating their impact on disease progression.		Questioning/Exploring		Gay		Hispanic/Latinx		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Mateo Lopez	mateo.lopez@university.edu	Psychology	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I would have the opportunity to advance my research on the gut microbiota and autoimmune disorders, ultimately contributing to the development of new therapies for these conditions."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Developmental & Stem Cell Biology		Neurobiology		Reproductive Science		I am interested in investigating the gut microbiota and its relationship to autoimmune disorders.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		My previous projects focused on investigating the gut microbiome composition in autoimmune disorders and analyzing its relationship with disease severity.		Female/Woman				"Asian (Other than Filipino, Hmong or Vietnamese)"			Other	Mental impairment						Yes	Yes		Yes
Isabella Hernandez	isabella.hernandez@university.edu	Biology	Undergraduate student		23-Dec	"With an NIH diversity supplement, I would be able to further my studies in gene therapy techniques for inherited genetic disorders, bringing me closer to developing effective treatments and improving patients’ lives."	"Basic Science Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Immunology		Developmental & Stem Cell Biology		Gene therapy techniques for inherited genetic disorders are at the forefront of my research interests.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"I have conducted research on developing gene therapy techniques for inherited genetic disorders, with a focus on optimizing delivery vectors and assessing their efficacy in preclinical models."		"Gender identity not listed, see below"		Prefer not to answer		Hispanic/Latinx		No	Does not apply			No		Yes	Yes	Yes	CA		Yes
Santiago Martinez	santiago.martinez@university.edu	Biology	Post-Baccalaureate student		21-May	"The financial support and resources provided by an NIH diversity supplement would greatly enhance my exploration of nanotechnology for targeted cancer drug delivery, potentially revolutionizing cancer treatment options."	"Basic Science Research
Clinical/Translational Research
Outcomes/Epidemiology Research"		Vascular & Cardiac Biology		Neurobiology		Cancer Biology & Cell Signaling		My research is centered around exploring nanotechnology for targeted cancer drug delivery.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"In my previous projects, I have explored the use of nanotechnology for targeted drug delivery in cancer treatment, developing novel nanoparticles and evaluating their therapeutic potential."		Female/Woman		Bisexual		"Asian (Other than Filipino, Hmong or Vietnamese)"		Do not know	Does not apply			No		No	No	Yes	Yes		Yes
Camila Davis	camila.davis@university.edu	"Molecular and Cell Biology, Neurobiology"	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I would have the necessary support to investigate the mechanisms of neurodegeneration in Parkinson’s disease, contributing to the development of innovative therapies for patients."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Neurobiology		Virology & Microbial Pathogenesis		Cancer Biology & Cell Signaling		I am passionate about understanding the mechanisms of neurodegeneration in Parkinson’s disease.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"I have contributed to research projects investigating the molecular mechanisms underlying neurodegeneration in Parkinson’s disease, using cellular and animal models to study protein aggregation and neuronal dysfunction."		Nonbinary		Heterosexual		"Filipino, Hmong, or Vietnamese"		No	Does not apply			No		Yes	Yes	Yes	CA		Yes
Juan Thompson	juan.thompson@university.edu	Molecular Cell Biology + Psychology	Undergraduate student		24-May	"An NIH diversity supplement would provide me with the means to continue studying the impact of exercise on cardiovascular health and longevity, ultimately helping me make significant contributions to preventive medicine."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Cancer Biology & Cell Signaling		Developmental & Stem Cell Biology		Reproductive Science		My research interests lie in studying the impact of exercise on cardiovascular health and longevity.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"My previous research has involved studying the effects of exercise on cardiovascular health, conducting clinical trials to assess the impact of different exercise interventions on risk factors such as blood pressure and lipid profiles."		Female/Woman				"Filipino, Hmong, or Vietnamese
White"		Yes	Does not apply			Prefer not to respond/disclose		Yes	Yes	Yes	Yes		Yes
Valentina Scott	valentina.scott@university.edu	Molecular and Cell Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I could develop new diagnostic tools for early detection of infectious diseases, which would have a profound impact on global health and disease prevention."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Other
Outcomes/Epidemiology Research"		Virology & Microbial Pathogenesis		Cancer Biology & Cell Signaling		Vascular & Cardiac Biology		I am dedicated to developing new diagnostic tools for early detection of infectious diseases.	"Other
Quantitative analytical skills/experience"	"Research with Rapid Reviews\Infectious Diseases, an overlay journal wherein I assessed infectious disease preprints and identifies experts for peer review of the preprints."	"I have worked on developing diagnostic tools for early detection of infectious diseases, utilizing advanced molecular techniques such as PCR and next-generation sequencing to identify pathogens and assess drug resistance."		Male/Man		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	No	Yes	Yes		Yes
Alejandro Wilson	alejandro.wilson@university.edu	Global Disease Biology	Post-Baccalaureate student		20-May	"An NIH diversity supplement would enable me to explore the role of inflammation in chronic pain, leading to the development of targeted treatments and improved quality of life for individuals suffering from chronic pain conditions."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Virology & Microbial Pathogenesis		Immunology		Epidemiology & Biostatistics		Investigating the role of inflammation in chronic pain is a key focus of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"My previous projects focused on investigating the role of inflammation in chronic pain conditions, utilizing animal models and patient samples to study immune cell activation and cytokine signaling pathways."		Female/Woman		Asexual		"Filipino, Hmong, or Vietnamese"	Vietnamese	Yes	Does not apply					Yes	Yes	Yes	Yes		Yes
Lucia Harris	lucia.harris@university.edu	Molecular Cell Biology	Undergraduate student		5/15/24	"By receiving an NIH diversity supplement, I would have the opportunity to delve deeper into the molecular basis of drug resistance in cancer cells, contributing to the development of more effective cancer therapies."	"Basic Science Research
Health Disparities Research
Other
Outcomes/Epidemiology Research"	Infectious disease more specifically key molecular interactions between host and viral proteins that mediate outcomes of infection	Immunology		Virology & Microbial Pathogenesis		Cancer Biology & Cell Signaling		My research aims to uncover the molecular basis of drug resistance in cancer cells.	Quantitative analytical skills/experience		"I have conducted research on the molecular basis of drug resistance in cancer cells, using genomics and functional assays to identify key genetic alterations and develop strategies to overcome resistance."		Female/Woman		Heterosexual		Hispanic/Latinx		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Gabriel Green	gabriel.green@university.edu	"Chemistry, Biochemistry concentration"	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I could continue developing artificial intelligence algorithms for personalized medicine and disease prediction, revolutionizing healthcare delivery and patient outcomes."	"Basic Science Research
Clinical/Translational Research"		Biophysics		Neurobiology		Immunology		I am fascinated by the development of artificial intelligence algorithms for personalized medicine and disease prediction.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"In my previous projects, I have developed machine learning algorithms for personalized medicine and disease prediction, utilizing large-scale genomic and clinical datasets to improve disease risk stratification and treatment outcomes."		Female/Woman		Heterosexual				Yes	Does not apply			Prefer not to respond/disclose		Yes	Yes	Yes	Yes		Yes
